station,name,rows,cols,lat,lon
48520099999,SAWI AGROMET- TH,2006,1586,10.3333333,99.1
99999963826,BLACKVILLE 3 W- SC US,2467,4459,33.355,278.6721
47893099999,KOCHI- JA,2471,2137,33.5666666,133.55
07150099999,LE BOURGET- FR,2779,39,48.969444,2.441389
87418099999,EL PLUMERILLO- AR,1143,4659,-32.831717,291.20714399999997
98637099999,ILOILO- RP,2014,1961,10.713067,122.541083
40377099999,KING KHALED MILITARY CITY- SA,2358,728,27.900917,45.528194
71872099999,SVARTEVAEG- CA,3423,4291,81.1666666,268.1833334
02565099999,HULTSFRED- SW,2950,253,57.525833,15.823333
72357503950,LAWTON MUNICIPAL AIRPORT- OK US,2491,4185,34.55771,261.5828
65330099999,PARAKOU- BN,1986,42,9.35,2.6166667
58921099999,YONG AN- CH,2318,1878,25.95,117.37
35497099999,ZHARYK- KZ,2776,1166,48.85,72.8666666
95293099999,WOOLSHED- AS,1411,2345,-19.4166666,146.5333333
94135099999,MCCLUER ISLAND AWS- AS,1578,2128,-11.05,132.9833333
06477099999,DIEPENBEEK- BE,2818,87,50.9166666,5.45
99725999999,9099090 GRAND MARAIS MN- US,2754,4315,47.75,269.65999999999997
63729099999,BUKOBA- TZ,1773,509,-1.3333333,31.8166667
78739099999,CHINANDEGA- NU,2052,4366,12.6333333,272.8666667
98330099999,CABANATUAN- RP,2109,1935,15.4666666,120.95
06630399999,BERN BELP- SZ,2738,120,46.9141,7.497153
06032099999,STENHOJ- DA,2947,165,57.3833333,10.3333333
01383099999,EVENSTAD DIH- NO,3027,177,61.4,11.0802778
72066199999,IONIA CO- MI US,2658,4399,42.937997,274.939475
07434099999,BELLEGARDE- FR,2717,19,45.862778,1.179444
72645694855,OSHKOSH WITTMAN REGIONAL AIRPORT- WI US,2679,4343,43.9871,271.44358
47590099999,SENDAI- JA,2565,2254,38.2666666,140.9
94675099999,KENT TOWN- AS,1101,2218,-34.9166666,138.6166666
72248713935,ALEXANDRIA ESLER FIELD- LA US,2427,4283,31.3963,267.71722
63333099999,COMBOLCHA DESSIE- ET,2021,635,11.0833333,39.7166667
34858099999,DIVNOE- RS,2718,694,45.916667,43.35
11927499999,PIESTANY- LO,2772,285,48.625247,17.828444
02188099999,RODKALLEN- SW,3106,358,65.3166666,22.3833333
16641099999,IOANNIS KAPODISTRIAS INTERNATIONAL- GR,2592,319,39.601944,19.911667
17350033308,INCIRLIK- TU,2540,567,37.0021,35.425894
71949099999,FARO AUT YT- CA,3044,3626,62.2333333,226.65
01052099999,HAMMERFEST AIRPORT- NO,3213,379,70.6833333,23.6833333
71216099999,NAKUSP CS BC- CA,2805,3875,50.2666666,242.18333339999998
70246026512,MINCHUMINA AIRPORT- AK US,3077,3323,63.88611,207.69806
71352099999,ELORA RCS ONT- CA,2672,4473,43.65,279.5833334
59632099999,QINZHOU- CH,2238,1738,21.95,108.6166666
78906000403,CANEFIELD AIRPORT- DO,2106,4778,15.333,298.617
72297793184,SANTA ANA JOHN WAYNE AIRPORT- CA US,2473,3874,33.67975,242.13254
96015099999,MEULABOH CUT NYAK- ID,1884,1538,4.25,96.1166667
48925099999,OUDOMXAY- LA,2213,1632,20.6833333,102.0
81225099999,JOHAN A PENGEL INTERNATIONAL- NS,1909,4877,5.452831,304.812217
43063099999,PUNE- IN,2170,1182,18.5333333,73.85
95806099999,STENHOUSE BAY- AS,1094,2191,-35.2833333,136.9333333
29866099999,MINUSINSK- RS,2874,1467,53.7166666,91.7
57707099999,BIJIE- CH,2345,1684,27.3,105.2333333
72435463815,SOMERSET PULASKI CO JT WILSON AIRPORT- KY US,2541,4406,37.05417,275.38527999999997
72066800246,EAST BREAKS OIL PLATFORM- TX US,2356,4251,27.817,265.683
67095099999,TOAMASINA- MA,1437,790,-18.109517,49.392536
56838099999,RUILI- CH,2279,1566,24.0,97.85
02913099999,KAUHAVA- FI,3062,369,63.127078,23.051442
07374099999,CHARMEIL- FR,2723,54,46.169689,3.403736
74768853858,PASCAGOULA LOTT INTERNATIONAL AIRPORT- MS US,2409,4343,30.46304,271.46844
94937099999,MORUYA HEADS PILOT STATION- AS,1081,2402,-35.9166666,150.15
71518099999,ENCHANT AGDM ALTA- CA,2803,3961,50.1833333,247.56666669999998
71581099999,ALGONQUIN PARK EAST GATE- CA,2710,4508,45.5333333,281.7333334
99999923906,PORT ARANSAS 32 NNE- TX US,2366,4211,28.3045,263.177
43110099999,RATNAGIRI- IN,2139,1173,16.9833333,73.3333333
30777099999,SRETENSK- RS,2844,1883,52.2333333,117.7
59948099999,SANYA- CH,2164,1753,18.2166666,109.5833333
94930099999,MOUNT NOWA NOWA- AS,1045,2369,-37.7,148.0833333
65355099999,NIAMTOUGOU INTERNATIONAL- TO,1995,17,9.767333,1.09125
71624099999,LESTER B PEARSON INTERNATIONAL- CA,2673,4486,43.677223,280.369444
47612099999,TAKADA- JA,2541,2212,37.1,138.25
08042099999,SANTIAGO- SP,2657,5625,42.896333,351.584856
72782724110,MOSES LAKE GRANT CO AIRPORT- WA US,2743,3851,47.19295,240.68541
71621099999,TRENTON- CA,2682,4519,44.1166666,282.4666667
72027312981,BAY CITY MUNICIPAL AIRPORT- TX US,2379,4226,28.97306,264.13667
